"n","miss_rate","model","n_reps","mean_tr_mi","mean_tr_fiml","bias","sd_diff","rmse","cor"
250,0.4,"Msat",1976,4.53866237934319,4.60516903285419,-0.0665066535109957,0.72072904861083,0.723609436598983,0.476615635002012
500,0.1,"M1",1998,0.463815512617211,0.562136606932427,-0.0983210943152153,0.171006447949006,0.197219691178692,0.374483322305632
500,0.1,"M10",1998,0.479820213542197,0.612315651777037,-0.132495438234841,0.162975498295579,0.210006572271946,0.425942550081929
500,0.1,"M11",1998,0.40838351905499,1.14814892818564,-0.739765409130653,0.350261549406966,0.818458679812082,0.386309514956508
500,0.1,"M12",1998,0.44288727760315,1.20593012879351,-0.76304285119036,0.496075474615599,0.910056097535169,0.647704327333
500,0.1,"M2",1998,0.446423138336299,0.71252661194049,-0.266103473604191,0.189314624682118,0.326547313311925,0.352063086607308
500,0.1,"M3",1998,0.422231762513263,0.69902068267475,-0.276788920161488,0.169472957967819,0.324528604116596,0.345160761421841
500,0.1,"M4",1998,0.467912445378868,2.02114372383935,-1.55323127846048,0.649485142172393,1.68349256834983,0.622051164128344
500,0.1,"M5",1998,0.452853610863834,0.734898835388438,-0.282045224524603,0.183101439491142,0.336242272732686,0.343445167054314
500,0.1,"M6",1998,0.493532470894877,0.583577235079558,-0.0900447641846816,0.169447841504155,0.191849576208395,0.375782745409486
500,0.1,"M7",1996,0.482402059652662,35.6511766165784,-35.1687745569258,972.550420151101,972.942592104093,-0.074121894121435
500,0.1,"M8",1998,0.479794168262449,0.612738818129032,-0.132944649866583,0.188691448995738,0.230783281025178,0.360906053240199
500,0.1,"M9",1998,0.509534871666166,0.635032810951646,-0.125497939285479,0.187186947544187,0.225324541677406,0.360370132163208
500,0.1,"Msat",1998,1.03172052114763,1.0316163753398,0.000104145807832234,0.233610823380756,0.233552378117332,0.527975353187748
500,0.25,"M1",1995,1.19181745860298,1.31965785761571,-0.127840399012733,0.27545180224268,0.303609668902321,0.374421563695659
500,0.25,"M10",1995,1.23322041472783,1.39489594399614,-0.161675529268313,0.251074400493947,0.298572827254692,0.431357456511386
500,0.25,"M11",1995,1.04570885557262,1.77663601685327,-0.730927161280643,0.379518950948186,0.823539283468006,0.522676194613866
500,0.25,"M12",1995,1.13726388098727,1.88149571428815,-0.74423183330088,0.43298529099799,0.860966498102704,0.627138734691823
500,0.25,"M2",1995,1.1473533259106,1.42928675652865,-0.28193343061805,0.273107386943933,0.392475116170156,0.392714155331618
500,0.25,"M3",1995,1.08374084329483,1.36713821515282,-0.283397371857993,0.238750933322098,0.370523286856605,0.390216520543464
500,0.25,"M4",1995,1.19978128564426,2.67473297988045,-1.47495169423619,0.60058489258185,1.592483566764,0.755470892575115
