"n","miss_rate","model","chi2_com","chi2_MI","chi2_D3"
500,0.1,"M3",45.0166584575588,45.0822431337183,45.6917318923526
500,0.1,"M4",161.559040087745,161.478852116392,162.04266019216
500,0.1,"M5",43.9645693021549,44.0403429708184,44.6192098811022
500,0.1,"M6",21.1835319559677,21.2263834382158,21.7645714884685
500,0.1,"M7",152.414394874834,152.870164780741,153.42025337378
500,0.1,"M8",21.2201497429442,21.258381609357,21.8103079622422
500,0.1,"M9",20.2075126778696,20.2487339795001,20.7709196289816
500,0.25,"M1",22.1766667323358,22.173163774432,23.6589266435776
500,0.25,"M10",21.2024968257714,21.2009870390204,22.6453469520411
500,0.25,"M11",179.751500529828,179.34563662955,180.977508101726
500,0.25,"M12",127.297954472569,127.084393702567,128.624710149329
500,0.25,"M2",36.1740863966451,36.1856133532705,37.7158403551085
500,0.25,"M3",45.0122827848391,44.9399422179049,46.5337817023586
500,0.25,"M4",161.553794600947,161.377754834603,162.855553876707
500,0.25,"M5",43.9587564033228,43.891695099851,45.4052210182362
500,0.25,"M6",21.1642517007952,21.1541085138498,22.5618809912854
500,0.25,"M7",152.415562213944,152.252734858035,153.694186977744
500,0.25,"M8",21.2024968258997,21.2009683425554,22.6453100869338
500,0.25,"M9",20.1886469519412,20.1798042086737,21.5460163976016
500,0.4,"M1",22.1848427608163,22.200154596815,24.6813170234982
500,0.4,"M10",21.2104198250024,21.2325655652965,23.6448753826362
500,0.4,"M11",179.752771775867,179.117866252946,181.845385270702
500,0.4,"M12",127.30671058148,126.908146731362,129.481025760388
500,0.4,"M2",36.1904687043741,36.1480309362324,38.70382202426
500,0.4,"M3",45.0054358839983,44.8746720601905,47.5367532560973
500,0.4,"M4",161.569872439264,161.257612384348,163.729800815708
500,0.4,"M5",43.954760971848,43.8190709103197,46.3449736644025
500,0.4,"M6",21.177499599009,21.1709127025492,23.5203448914539
500,0.4,"M7",152.472467580322,152.058427654426,154.473527624856
500,0.4,"M8",21.210419825128,21.2326418432318,23.6447696267148
500,0.4,"M9",20.2015581401317,20.2008131998508,22.4811954378556
1000,0.1,"M1",22.2752727170128,22.2964785553397,22.8622300241184
1000,0.1,"M10",21.2955144362372,21.3133756710499,21.8643016817965
1000,0.1,"M11",334.49378484995,334.433486392195,335.056611586441
1000,0.1,"M12",230.531904862522,230.45161881036,231.043499025707
1000,0.1,"M2",49.5658261339053,49.598038842173,50.180833586306
1000,0.1,"M3",66.4983960708283,66.5052024221622,67.1117171997909
1000,0.1,"M4",299.280847709708,299.257813817457,299.816602126903
1000,0.1,"M5",65.4518583303053,65.4660551861182,66.0423423489895
1000,0.1,"M6",21.2780620177566,21.3031370554574,21.8387829219475
1000,0.1,"M7",285.783075169591,285.770299103265,286.318420686071
1000,0.1,"M8",21.2955144363327,21.313357824107,21.8642993779955
1000,0.1,"M9",20.2955211097566,20.317056315349,20.837881003934
1000,0.25,"M1",22.2752727170128,22.2968870637227,23.7723017435784
1000,0.25,"M10",21.2955144362372,21.3327780015751,22.7699967845123
1000,0.25,"M11",334.49378484995,334.225788544784,335.851099415074
1000,0.25,"M12",230.531904862522,230.442783640564,231.985138920355
1000,0.25,"M2",49.5658261339053,49.5938617430271,51.1135705021488
1000,0.25,"M3",66.4983960708283,66.5282421448516,68.1094022965426
1000,0.25,"M4",299.280847709708,299.1695481839,300.629921562718
1000,0.25,"M5",65.4518583303053,65.484536369807,66.9865258018867
1000,0.25,"M6",21.2780620177566,21.29848413092,22.6950299026023
1000,0.25,"M7",285.783075169591,285.526001607453,286.956182971055
1000,0.25,"M8",21.2955144363327,21.3327810137631,22.7699817761719
1000,0.25,"M9",20.2955211097566,20.3320567523174,21.690344812806
1000,0.4,"M1",22.2752727170128,22.2673377341682,24.7358680705695
1000,0.4,"M10",21.2955144362372,21.302894708063,23.7087072598324
1000,0.4,"M11",334.49378484995,333.735285050938,336.456952307252
1000,0.4,"M12",230.531904862522,230.293884244012,232.87455433126
1000,0.4,"M2",49.5658261339053,49.5456103723367,52.0880220625349
1000,0.4,"M3",66.4983960708283,66.4884122770591,69.1332838406727
1000,0.4,"M4",299.280847709708,298.871167150337,301.320942229704
1000,0.4,"M5",65.4518583303053,65.4363385043442,67.9476012908067
1000,0.4,"M6",21.2780620177566,21.261210796289,23.5962057961498
1000,0.4,"M7",285.783075169591,285.47617418863,287.868625967535
1000,0.4,"M8",21.2955144363327,21.3029395792284,23.7086640633558
1000,0.4,"M9",20.2955211097566,20.2941898703582,22.566343796611
