"method","model","tr_RIV","term1","term2","term3","total"
"amelia","M2",2.20937983686928,3.13282598802607,-0.0303407903297739,-0.89281184245101,2.20967335524529
"amelia","M3",2.11767518084284,2.13486006591438,-0.0723597957407947,-0.736780416887541,1.32571985328605
"amelia","M4",2.20781417807592,2.77868695367079,0.100363245399876,-0.858555951405378,2.02049424766528
"amelia","M5",2.26019238945941,2.05359171527925,-0.0821008319312568,-0.729811779361171,1.24167910398683
"amelia","M6",2.35974040551787,1.73675248598192,0.0177876799671139,-0.921075298630967,0.833464867318071
"amelia","M7",2.54626278225467,-0.195596627924715,0.000696423142017011,-0.848432357540787,-1.04333256232349
"amelia","M8",2.28444231121961,1.71163805802007,0.0276928874109217,-0.95926642847644,0.780064516954553
"amelia","M9",2.44595288325089,1.64476061615323,0.00584790462289675,-0.927897584545008,0.722710936231124
"amelia","M10",2.2858404493306,1.71182727383575,0.0274012726545152,-0.959280687294722,0.779947859195545
"amelia","M11",1.79548723362877,0.341437786167262,0.121269895837941,-0.730958458588248,-0.268250776583045
"amelia","M12",2.20701835935537,1.66519660354379,0.0515690094516685,-0.844976933198723,0.871788679796737
"amelia","Msat",5.03884539225609,5.4265997707671,-0.191341953070605,-2.37054974886087,2.86470806883563
"amelia","M1",1.99171026936012,14.2179886944723,-0.0765864015229454,-0.978721301608402,13.1626809913409
"amelia","M2",2.01940351738094,13.1404707052147,-0.128022604698344,-0.885148339993975,12.1272997605224
"amelia","M3",1.95094784696995,13.3916860648728,-0.131919395007117,-0.830197680290439,12.4295689895753
"amelia","M4",1.98210883801928,14.93679246082,-0.112306909253675,-0.865125891649768,13.9593596599166
"amelia","M5",2.04103449474893,13.8465928749797,-0.120688815675294,-1.28736706300333,12.4385369963011
"amelia","M6",2.11670624514858,14.4859152828531,-0.0880830848818732,-1.31806022909768,13.0797719688735
"amelia","M7",1.91516643989236,13.6417493098133,-0.251935415798016,-1.245772939782,12.1440409542333
"amelia","M8",2.12371453445925,14.3817670045773,-0.108154662484139,-0.983567267650415,13.2900450744428
"amelia","M9",2.24955588549289,14.6999215711576,-0.127271309797834,-1.33876136765775,13.233888893702
"amelia","M10",2.12284863412925,14.3737072566319,-0.100275514835175,-0.983562520406394,13.2898692213903
"amelia","M11",1.79495809104764,16.9405854651063,-0.113661932866762,-0.745042949880826,16.0818805823587
"amelia","M12",2.00028826528719,15.1227569605658,-0.134652310581714,-0.781197055110169,14.2069075948739
"amelia","Msat",4.65646480927263,12.582540134058,-0.142748393303009,-2.4838388543385,9.95595288641653
"amelia","M1",2.15809861182985,8.28065506758776,-0.0192623353100316,-0.780695589601692,7.48069714267604
"amelia","M2",2.0553006639616,8.42411932693358,-0.00447864219449912,-0.758026541443542,7.66161414329554
"amelia","M3",1.8738362301396,8.4228787088673,-0.000695774803716631,-0.769031973434267,7.65315096062932
"amelia","M4",1.82022705087347,4.4842960539454,-0.105602695833113,-0.522401071711556,3.85629228640073
"amelia","M5",2.06501427441259,8.88909503380319,-0.123225623598046,-0.820229660982932,7.94563974922221
"amelia","M6",2.30916800780308,8.88762079666185,-0.136143710668421,-0.834714369440462,7.91676271655297
"amelia","M7",2.26388367840572,9.53105299224489,-0.0685707228371939,-0.741886530265674,8.72059573914203
"amelia","M8",2.37859516230066,8.59367400813971,0.0263302975645274,-0.845976634663657,7.77402767104059
"amelia","M9",2.57342701419422,9.06394596705695,-0.0984350241469656,-0.877803909450449,8.08770703345954
"amelia","M10",2.37609712753016,8.59387700905381,0.0256350749609737,-0.845976541807886,7.7735355422069
"amelia","M11",2.06335819989692,2.32537213259411,-0.0368462383653423,-0.492227128569539,1.79629876565923
"amelia","M12",2.08598818629388,5.95154446238212,0.0162528888949964,-0.673475899432106,5.29432145184501
"amelia","Msat",5.1856086128717,10.6467293844271,-0.0587313182677462,-2.63046094829497,7.95753711786438
"amelia","M1",1.80396313602599,5.87017611043848,0.0374909848910647,-0.617913628011138,5.28975346731841
"amelia","M2",1.7509054626546,4.45649257277637,0.0334835950066008,-0.515577892421334,3.97439827536164
"amelia","M3",1.70540688049314,3.09285251524307,0.0833964170051331,-0.470885985583664,2.70536294666454
"amelia","M4",1.70632831347769,1.91522269803363,0.079768882681492,-0.511389668137326,1.4836019125778
"amelia","M5",1.80837747297897,3.21564999790371,0.0650255194568672,-0.442206000627266,2.83846951673331
"amelia","M6",1.90939543743803,6.52768929586136,0.00167263638286386,-0.619687259348211,5.90967467289602
"amelia","M7",1.85777801860792,5.28757708948751,0.097398531916042,-0.590474056684343,4.79450156471921
"amelia","M8",1.86311648024181,6.13897224955053,0.0135013072394941,-0.597371597090842,5.55510195969919
"amelia","M9",1.97269770891938,6.71577929245041,-0.0196341615105666,-0.595581919169035,6.1005632117708
"amelia","M10",1.86173436789645,6.13944981955274,0.0129052457755279,-0.597374233758273,5.55498083156999
"amelia","M11",1.68215186800912,3.60107099177276,3.63331760127039e-05,-0.514814300302987,3.08629302464578
"amelia","M12",1.81340247670055,1.22199079295569,0.017738019314038,-0.427907350723672,0.81182146154606
"amelia","Msat",4.18731103456223,7.66453523543578,-0.0279724059178079,-1.52950153186021,6.10706129765776
"amelia","M1",2.08044659555459,6.47576199602236,-0.152630017619686,-1.12696284366029,5.19616913474238
"amelia","M2",1.96168788126444,4.75117336086851,-0.0840574939502403,-1.00881380527699,3.65830206164128
"amelia","M3",1.74862812437755,4.73573465082382,-0.0597038480323135,-1.0139413635352,3.66208943925631
"amelia","M4",2.06857622034275,1.33197846449548,-0.0935106387064479,-0.750683999253397,0.487783826535633
"amelia","M5",1.94824540034511,4.7191003521225,-0.0201896065123037,-1.05666869493598,3.64224205067421
"amelia","M6",2.15881816337556,6.35401964255652,-0.0961394849318822,-1.17977119185389,5.07810896577075
"amelia","M7",1.90031125890302,4.75416523329159,-0.179320093966908,-1.0969210442363,3.47792409508838
"amelia","M8",2.15187592725043,6.38958383551881,-0.169974867263591,-1.09862184634403,5.12098712191118
"amelia","M9",2.21349432537031,6.26452846390657,-0.113706622495101,-1.15115202588868,4.99966981552279
"amelia","M10",2.15011814871799,6.39578209439014,-0.176385067881711,-1.09862810119512,5.12076892531331
"amelia","M11",1.81578386642154,3.01232896452939,-0.0925023521708681,-0.769055655755437,2.15077095660308
"amelia","M12",1.78798879271135,5.26358319636165,0.0437060061035481,-1.15984578367897,4.14744341878622
"amelia","Msat",4.40443143771485,7.99542034932028,-0.161290804094278,-1.92765835445061,5.90647119077539
"amelia","M1",2.30213381277406,-3.635504077115,0.0580209621784888,-1.02700969893885,-4.60449281387537
"amelia","M2",2.19714446530064,-3.16262438654394,0.0377686075057682,-0.998862391815237,-4.12371817085341
"amelia","M3",2.11306072093045,-2.97815271669833,0.0556243660457767,-0.791821162927135,-3.71434951357969
"amelia","M4",2.15255995811227,-2.53208660360769,0.109929781101528,-0.827800393165035,-3.2499572156712
"amelia","M5",2.25183096337661,-2.84465004403683,0.0338605089182238,-0.767618975643927,-3.57840851076253
"amelia","M6",2.39299455507598,-3.30730175607141,0.0147692926279888,-0.966089545418072,-4.25862200886149
"amelia","M7",2.26349249039735,-3.08612377382224,-0.242001364855241,-0.981910541089746,-4.31003567976722
"amelia","M8",2.45239200334881,-3.64867378874715,0.0569753279796714,-1.01639863019045,-4.60809709095793
"amelia","M9",2.57795889320953,-3.32035374144834,0.0125443577944679,-0.939780861499457,-4.24759024515333
"amelia","M10",2.45552403555502,-3.64831017480719,0.056130357001166,-1.01639540255837,-4.6085752203644
